GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-app,com.example,Application,5,3,0,0,2,1,1,1,1,1
sample-app,com.example.controller,HelloController,0,5,0,0,0,2,0,2,0,2
